antwortid;LegalForm;GroupMember;ForeignCompany;Income;AllIndustry;TaxAudit5Y;TaxAudit10Y;ForeignTaxAudit;A1_1_01;A1_1_02;A1_1_03;A1_1_04;A1_1_05;A1_1_06;A2_1_01;A2_1_02;A2_1_03;A2_1_04;A2_2_01;A2_2_02;A2_3_01;A2_3_02;A2_3_03;A3_1_01;A3_1_02;A3_1_03;A3_1_04;A4_1_01;A4_1_02;A4_1_03;A4_1_04;A4_1_05;A4_1_06;A4_2_01;A4_2_02;A4_2_03;A4_2_04;A4_2_05;A4_2_06;A4_2_07;A4_2_08;A4_2_09;A4_2_10;A4_2_11;A5_1_01;A5_1_02;A5_1_03;A5_1_04;A5_2_01;A5_2_02;A5_3_01;A5_3_02;A5_3_03;A5_3_04;A5_3_05;A5_3_06;A5_3_07;A5_3_08
19;Kapitalgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Keine Antwort;7;9;5;3;5;5;9;9;9;9;8;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;6;3;8;1;8;6;3;4;5;9;8;Keine Antwort;10;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;3;8;2;5;10;10;1;2;4;5;8;4;3;10
20;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;masc_industry ;7;7;Ja;5;8;8;4;7;4;4;4;4;7;8;5;6;7;8;7;4;7;4;7;7;7;7;7;7;7;7;4;4;4;7;7;7;7;7;7;8;8;8;8;8;8;8;8;9;9;9;9;9;9
21;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;9;10;Nein;7;10;10;8;Keine Antwort;Keine Antwort;10;10;10;10;10;3;6;6;6;9;9;10;6;9;9;3;3;3;10;10;10;5;3;Keine Antwort;3;7;5;Keine Antwort;Keine Antwort;Keine Antwort;10;10;10;10;10;10;5;5;10;9;10;10;9;9
26;Personengesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry stahl_industry ;10;10;Nein;10;10;8;5;7;Keine Antwort;4;7;3;5;8;6;1;1;4;10;6;7;3;6;7;2;3;2;6;5;1;4;7;Keine Antwort;1;5;4;Keine Antwort;7;3;10;4;10;10;10;10;5;6;6;7;9;9;9;10
27;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Nein;7;8;8;2;7;2;8;8;8;8;8;2;3;3;3;10;10;8;2;8;8;7;7;6;8;8;8;7;7;5;4;6;7;Keine Antwort;Keine Antwort;2;8;8;8;8;8;8;2;1;6;6;8;8;9;10
28;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;auto_industry ;10;10;Nein;5;10;10;10;Keine Antwort;1;7;7;7;7;10;6;3;10;Keine Antwort;10;10;Keine Antwort;1;2;2;1;1;1;5;5;8;3;3;Keine Antwort;3;3;3;Keine Antwort;Keine Antwort;3;8;8;8;8;10;10;10;10;10;10;10;10;10;10
29;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Nein;10;10;7;3;7;1;7;10;10;8;10;10;6;8;1;8;10;Keine Antwort;8;8;9;5;9;8;8;8;8;7;9;Keine Antwort;2;8;6;9;8;6;8;8;5;5;8;8;9;7;8;5;10;9;9;9
31;Mischgesellschaft;Konzernmutter;Ja;> 250-750 Mio. EUR;auto_industry verarb_industry ;10;10;Nein;10;10;10;10;10;10;10;10;10;10;10;6;1;1;1;3;6;6;4;6;6;6;6;6;8;7;7;6;5;8;4;6;7;Keine Antwort;Keine Antwort;Keine Antwort;8;7;6;7;9;7;6;6;9;8;10;10;10;10
32;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Nein;1;10;9;2;9;Keine Antwort;10;9;3;9;9;9;1;1;1;10;9;10;2;2;2;1;1;2;3;1;10;9;9;Keine Antwort;1;1;2;Keine Antwort;7;9;2;10;10;10;1;4;9;8;9;6;10;2;1;3
34;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;6;Nein;8;10;10;7;7;10;8;7;7;10;8;3;2;2;3;3;6;7;2;4;5;2;1;2;7;7;7;7;7;Keine Antwort;5;5;4;Keine Antwort;Keine Antwort;Keine Antwort;9;8;10;9;8;9;4;9;8;5;8;6;7;7
35;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;info_industry sons_industry ;10;8;Nein;10;10;8;10;Keine Antwort;Keine Antwort;10;10;10;Keine Antwort;10;Keine Antwort;7;7;7;7;7;9;4;4;5;3;3;7;10;10;Keine Antwort;8;10;Keine Antwort;3;2;2;Keine Antwort;Keine Antwort;Keine Antwort;8;7;1;7;8;8;3;3;2;3;10;5;7;7
36;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;sons_industry ;10;10;Ja;8;10;10;3;10;1;8;6;6;6;10;1;3;3;1;3;6;7;7;7;6;2;2;5;4;10;2;3;4;1;2;6;6;Keine Antwort;8;3;5;3;3;7;7;6;2;2;2;3;6;7;3;4
37;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;energie_industry grun_industry hand_industry ;10;10;Ja;10;10;10;4;10;10;8;9;4;8;10;1;1;1;1;7;9;9;2;3;2;1;1;2;2;2;5;10;10;1;1;2;2;1;1;1;1;1;1;1;10;10;9;2;1;10;8;1;1;1
39;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;auto_industry ;10;10;Nein;10;10;10;7;9;4;2;9;4;3;8;7;8;6;4;10;10;10;6;9;8;3;8;5;9;9;Keine Antwort;7;8;2;2;4;5;Keine Antwort;8;8;10;7;6;10;7;10;6;7;9;5;8;5;6;8
41;Mischgesellschaft;Konzernmutter;Ja;> 250-750 Mio. EUR;masc_industry ;10;10;Nein;10;10;10;7;10;Keine Antwort;10;10;10;10;10;Keine Antwort;Keine Antwort;1;1;5;2;Keine Antwort;10;10;10;5;5;4;8;9;10;1;1;Keine Antwort;Keine Antwort;10;9;Keine Antwort;Keine Antwort;Keine Antwort;1;1;1;1;6;2;1;1;1;1;1;8;1;5
